===================================
 SwinUNETR Training Started
===================================
データリストを読み込み中...
--- SwinUNETR 訓練開始 (Device: cuda) ---
1/20 - batch 5: loss = 0.5055
1/20 - batch 10: loss = 0.5167
1/20 - batch 15: loss = 0.4086
1/20 - batch 20: loss = 0.4700
1/20 - batch 25: loss = 0.4270
1/20 - batch 30: loss = 0.4796
1/20 - batch 35: loss = 0.2817
1/20 - batch 40: loss = 0.4559
Epoch 1 終了: Average Loss = 0.4964
2/20 - batch 5: loss = 0.2646
2/20 - batch 10: loss = 0.4593
2/20 - batch 15: loss = 0.3253
2/20 - batch 20: loss = 0.4582
2/20 - batch 25: loss = 0.3585
2/20 - batch 30: loss = 0.5371
2/20 - batch 35: loss = 0.3404
2/20 - batch 40: loss = 0.3809
Epoch 2 終了: Average Loss = 0.4062
3/20 - batch 5: loss = 0.5427
3/20 - batch 10: loss = 0.2484
3/20 - batch 15: loss = 0.3067
3/20 - batch 20: loss = 0.5444
3/20 - batch 25: loss = 0.4226
3/20 - batch 30: loss = 0.4729
3/20 - batch 35: loss = 0.5378
3/20 - batch 40: loss = 0.3631
Epoch 3 終了: Average Loss = 0.4070
4/20 - batch 5: loss = 0.5431
4/20 - batch 10: loss = 0.2800
4/20 - batch 15: loss = 0.3842
4/20 - batch 20: loss = 0.4973
4/20 - batch 25: loss = 0.5260
4/20 - batch 30: loss = 0.1651
4/20 - batch 35: loss = 0.3460
4/20 - batch 40: loss = 0.5646
Epoch 4 終了: Average Loss = 0.3800
5/20 - batch 5: loss = 0.1418
5/20 - batch 10: loss = 0.3405
5/20 - batch 15: loss = 0.3353
5/20 - batch 20: loss = 0.1946
5/20 - batch 25: loss = 0.5330
5/20 - batch 30: loss = 0.3416
5/20 - batch 35: loss = 0.2348
5/20 - batch 40: loss = 0.3346
Epoch 5 終了: Average Loss = 0.3278
6/20 - batch 5: loss = 0.1687
6/20 - batch 10: loss = 0.2440
6/20 - batch 15: loss = 0.2327
6/20 - batch 20: loss = 0.3322
6/20 - batch 25: loss = 0.5277
6/20 - batch 30: loss = 0.3454
6/20 - batch 35: loss = 0.3224
6/20 - batch 40: loss = 0.3296
Epoch 6 終了: Average Loss = 0.3306
7/20 - batch 5: loss = 0.3194
7/20 - batch 10: loss = 0.3281
7/20 - batch 15: loss = 0.3629
7/20 - batch 20: loss = 0.5223
7/20 - batch 25: loss = 0.2177
7/20 - batch 30: loss = 0.3635
7/20 - batch 35: loss = 0.4703
7/20 - batch 40: loss = 0.1499
Epoch 7 終了: Average Loss = 0.3063
8/20 - batch 5: loss = 0.3463
8/20 - batch 10: loss = 0.3708
8/20 - batch 15: loss = 0.3161
8/20 - batch 20: loss = 0.3147
8/20 - batch 25: loss = 0.3167
8/20 - batch 30: loss = 0.3006
8/20 - batch 35: loss = 0.5147
8/20 - batch 40: loss = 0.0894
Epoch 8 終了: Average Loss = 0.3014
9/20 - batch 5: loss = 0.3077
9/20 - batch 10: loss = 0.3059
9/20 - batch 15: loss = 0.3539
9/20 - batch 20: loss = 0.0604
9/20 - batch 25: loss = 0.2950
9/20 - batch 30: loss = 0.3153
9/20 - batch 35: loss = 0.2916
9/20 - batch 40: loss = 0.2355
Epoch 9 終了: Average Loss = 0.3274
10/20 - batch 5: loss = 0.1002
10/20 - batch 10: loss = 0.0764
10/20 - batch 15: loss = 0.1212
10/20 - batch 20: loss = 0.3435
10/20 - batch 25: loss = 0.2993
10/20 - batch 30: loss = 0.2983
10/20 - batch 35: loss = 0.3022
10/20 - batch 40: loss = 0.5180
Epoch 10 終了: Average Loss = 0.3392
11/20 - batch 5: loss = 0.3273
11/20 - batch 10: loss = 0.3114
11/20 - batch 15: loss = 0.3339
11/20 - batch 20: loss = 0.3180
11/20 - batch 25: loss = 0.0727
11/20 - batch 30: loss = 0.3186
11/20 - batch 35: loss = 0.0726
11/20 - batch 40: loss = 0.2948
Epoch 11 終了: Average Loss = 0.2850
12/20 - batch 5: loss = 0.2938
12/20 - batch 10: loss = 0.5070
12/20 - batch 15: loss = 0.3056
