===================================
 UNet Training Started
===================================
データリストを読み込み中...
--- UNet 訓練開始 (Device: cuda) ---
1/10 - batch 2: loss = 0.6749
1/10 - batch 4: loss = 0.6353
1/10 - batch 6: loss = 0.6688
1/10 - batch 8: loss = 0.6688
1/10 - batch 10: loss = 0.6531
1/10 - batch 12: loss = 0.6495
1/10 - batch 14: loss = 0.6470
1/10 - batch 16: loss = 0.6398
1/10 - batch 18: loss = 0.6391
1/10 - batch 20: loss = 0.6311
Epoch 1 終了: Average Loss = 0.6475
2/10 - batch 2: loss = 0.6344
2/10 - batch 4: loss = 0.6462
2/10 - batch 6: loss = 0.6267
2/10 - batch 8: loss = 0.6016
2/10 - batch 10: loss = 0.6467
2/10 - batch 12: loss = 0.6076
2/10 - batch 14: loss = 0.6039
2/10 - batch 16: loss = 0.6205
2/10 - batch 18: loss = 0.6145
2/10 - batch 20: loss = 0.5938
Epoch 2 終了: Average Loss = 0.6194
3/10 - batch 2: loss = 0.6074
3/10 - batch 4: loss = 0.6384
3/10 - batch 6: loss = 0.6303
3/10 - batch 8: loss = 0.6314
3/10 - batch 10: loss = 0.6365
3/10 - batch 12: loss = 0.6248
3/10 - batch 14: loss = 0.6151
3/10 - batch 16: loss = 0.5384
3/10 - batch 18: loss = 0.6201
3/10 - batch 20: loss = 0.6117
Epoch 3 終了: Average Loss = 0.6079
4/10 - batch 2: loss = 0.5851
4/10 - batch 4: loss = 0.5629
4/10 - batch 6: loss = 0.5804
4/10 - batch 8: loss = 0.5765
4/10 - batch 10: loss = 0.5489
4/10 - batch 12: loss = 0.6079
4/10 - batch 14: loss = 0.6148
4/10 - batch 16: loss = 0.5601
4/10 - batch 18: loss = 0.5938
4/10 - batch 20: loss = 0.5655
Epoch 4 終了: Average Loss = 0.5925
5/10 - batch 2: loss = 0.6031
5/10 - batch 4: loss = 0.5984
5/10 - batch 6: loss = 0.5416
5/10 - batch 8: loss = 0.6134
5/10 - batch 10: loss = 0.5944
5/10 - batch 12: loss = 0.5818
5/10 - batch 14: loss = 0.5751
5/10 - batch 16: loss = 0.5745
5/10 - batch 18: loss = 0.5965
5/10 - batch 20: loss = 0.5917
Epoch 5 終了: Average Loss = 0.5809
6/10 - batch 2: loss = 0.5775
6/10 - batch 4: loss = 0.5567
6/10 - batch 6: loss = 0.5557
6/10 - batch 8: loss = 0.6045
6/10 - batch 10: loss = 0.5461
6/10 - batch 12: loss = 0.6094
6/10 - batch 14: loss = 0.5917
6/10 - batch 16: loss = 0.5424
6/10 - batch 18: loss = 0.5589
6/10 - batch 20: loss = 0.5883
Epoch 6 終了: Average Loss = 0.5707
7/10 - batch 2: loss = 0.5068
7/10 - batch 4: loss = 0.6080
7/10 - batch 6: loss = 0.5180
7/10 - batch 8: loss = 0.5650
7/10 - batch 10: loss = 0.5759
7/10 - batch 12: loss = 0.5200
7/10 - batch 14: loss = 0.5538
7/10 - batch 16: loss = 0.5648
7/10 - batch 18: loss = 0.5914
7/10 - batch 20: loss = 0.5643
Epoch 7 終了: Average Loss = 0.5577
8/10 - batch 2: loss = 0.5579
8/10 - batch 4: loss = 0.6178
8/10 - batch 6: loss = 0.5501
8/10 - batch 8: loss = 0.5504
8/10 - batch 10: loss = 0.5668
8/10 - batch 12: loss = 0.5423
8/10 - batch 14: loss = 0.5648
8/10 - batch 16: loss = 0.5795
8/10 - batch 18: loss = 0.5851
8/10 - batch 20: loss = 0.5735
Epoch 8 終了: Average Loss = 0.5617
9/10 - batch 2: loss = 0.5799
9/10 - batch 4: loss = 0.5768
9/10 - batch 6: loss = 0.5830
9/10 - batch 8: loss = 0.5889
9/10 - batch 10: loss = 0.5371
9/10 - batch 12: loss = 0.5296
9/10 - batch 14: loss = 0.5676
9/10 - batch 16: loss = 0.5244
9/10 - batch 18: loss = 0.5107
9/10 - batch 20: loss = 0.5249
Epoch 9 終了: Average Loss = 0.5491
10/10 - batch 2: loss = 0.5335
10/10 - batch 4: loss = 0.5646
10/10 - batch 6: loss = 0.5693
10/10 - batch 8: loss = 0.5361
10/10 - batch 10: loss = 0.5162
10/10 - batch 12: loss = 0.5376
10/10 - batch 14: loss = 0.5227
10/10 - batch 16: loss = 0.5874
10/10 - batch 18: loss = 0.5553
10/10 - batch 20: loss = 0.5652
Epoch 10 終了: Average Loss = 0.5431
学習済みモデルを保存しました: /home/s2610100/m-thesis/outputs/spleen_model_unet.pth
===================================
 UNet Inference & Evaluation Started
===================================
--- UNet 推論を開始します... (Device: cuda) ---

==============================
UNet 平均 Dice Score: 0.0831
==============================
===================================
 Pipeline Finished Successfully
===================================
